Gender,Ever_Married,Graduated,Profession,Spending_Score,Var_1,Age,Work_Experience,Family_Size
Female,No,Yes,Healthcare,Low,Cat_6,32,9.0,3.0
Female,No,Yes,Artist,Low,Cat_6,56,0.0,1.0
Male,Yes,No,Lawyer,Low,Cat_4,75,1.0,1.0
Male,Yes,No,Entertainment,Low,Cat_3,39,9.0,2.0
Male,No,No,Healthcare,Low,Cat_4,22,9.0,5.0
Female,No,Yes,Engineer,Low,Cat_4,32,1.0,9.0
Male,No,No,Engineer,Low,Cat_6,25,1.0,3.0
Female,No,Yes,Artist,Low,Cat_6,36,6.0,1.0
Male,No,Yes,Artist,Low,Cat_6,62,0.0,2.0
Male,Yes,Yes,Executive,High,Cat_6,55,9.0,4.0
Male,Yes,Yes,Doctor,Average,Cat_2,42,8.0,2.0
Male,Yes,Yes,Homemaker,Low,Cat_6,47,1.0,1.0
Female,No,No,Entertainment,Low,Cat_6,42,10.0,4.0
Female,Yes,Yes,Homemaker,High,Cat_6,41,1.0,2.0
Male,Yes,No,Doctor,Low,Cat_3,28,5.0,2.0
Female,No,No,Doctor,Low,Cat_6,33,1.0,3.0
Male,Yes,Yes,Artist,Average,Cat_2,50,0.0,3.0
Male,Yes,No,Lawyer,Low,Cat_6,74,8.0,1.0
Female,No,Yes,Marketing,Low,Cat_3,36,0.0,2.0
Male,Yes,Yes,Executive,High,Cat_6,67,1.0,2.0
Female,No,No,Healthcare,Low,Cat_2,19,1.0,4.0
Female,Yes,Yes,Homemaker,Low,Cat_6,72,1.0,2.0
Male,No,Yes,Lawyer,Low,Cat_6,76,0.0,2.0
Male,No,Yes,Artist,Low,Cat_6,49,0.0,1.0
Male,Yes,Yes,Artist,Average,Cat_6,66,1.0,2.0
Female,Yes,Yes,Doctor,Low,Cat_6,36,13.0,2.0
Male,Yes,No,Executive,High,Cat_6,76,1.0,2.0
Male,No,Yes,Healthcare,Low,Cat_6,30,1.0,4.0
Male,Yes,No,Entertainment,Average,Cat_3,47,1.0,3.0
Female,Yes,Yes,Engineer,Low,Cat_6,71,0.0,1.0
Female,Yes,No,Engineer,Average,Cat_4,38,1.0,2.0
Male,Yes,Yes,Entertainment,Average,Cat_6,55,2.0,2.0
Male,Yes,No,Executive,High,Cat_6,38,12.0,7.0
Male,Yes,Yes,Artist,Low,Cat_6,43,1.0,2.0
Female,Yes,Yes,Artist,Average,Cat_6,50,0.0,9.0
Female,No,Yes,Doctor,Low,Cat_7,30,0.0,5.0
Male,No,No,Marketing,Low,Cat_6,51,9.0,1.0
Female,No,Yes,Artist,Low,Cat_4,43,14.0,1.0
Female,No,Yes,Artist,Low,Cat_6,42,8.0,2.0
Female,No,Yes,Artist,Low,Cat_6,60,6.0,1.0
Female,Yes,No,Artist,High,Cat_6,68,1.0,2.0
Male,No,No,Healthcare,Low,Cat_6,19,1.0,4.0
Female,Yes,Yes,Homemaker,Low,Cat_6,41,9.0,1.0
Female,No,Yes,Homemaker,Low,Cat_6,28,9.0,1.0
Male,No,Yes,Artist,Low,Cat_6,38,1.0,1.0
Male,No,Yes,Artist,Low,Cat_3,35,1.0,2.0
Male,Yes,Yes,Artist,Low,Cat_7,41,0.0,2.0
Male,Yes,Yes,Artist,Low,Cat_6,49,1.0,2.0
Female,Yes,Yes,Entertainment,Average,Cat_3,36,1.0,3.0
Male,Yes,No,Executive,Low,Cat_4,56,0.0,2.0
Male,No,No,Lawyer,Low,Cat_1,55,1.0,1.0
Male,Yes,Yes,Lawyer,Low,Cat_6,78,1.0,1.0
Female,No,No,Doctor,Low,Cat_2,28,1.0,5.0
Female,No,Yes,Artist,Low,Cat_6,36,1.0,1.0
Male,Yes,Yes,Executive,Average,Cat_6,57,1.0,5.0
Male,Yes,Yes,Artist,Average,Cat_7,36,4.0,2.0
Female,Yes,No,Engineer,Low,Cat_7,43,1.0,3.0
Female,Yes,No,Artist,Low,Cat_4,41,0.0,1.0
Female,No,Yes,Artist,Low,Cat_6,37,8.0,2.0
Female,Yes,Yes,Lawyer,Low,Cat_6,62,1.0,3.0
Female,No,Yes,Engineer,Low,Cat_6,28,9.0,5.0
Male,Yes,Yes,Artist,Low,Cat_6,50,8.0,2.0
Male,Yes,Yes,Artist,Average,Cat_6,50,1.0,4.0
Male,Yes,Yes,Artist,Average,Cat_7,49,0.0,2.0
Male,Yes,Yes,Doctor,High,Cat_6,70,1.0,3.0
Male,Yes,Yes,Artist,Average,Cat_6,46,1.0,3.0
Female,Yes,Yes,Artist,High,Cat_2,50,1.0,7.0
Male,Yes,Yes,Executive,High,Cat_6,72,1.0,5.0
Female,No,No,Healthcare,Low,Cat_2,19,1.0,5.0
Male,Yes,No,Engineer,Average,Cat_6,27,0.0,2.0
Female,No,Yes,Healthcare,Low,Cat_6,38,0.0,5.0
Female,No,Yes,Engineer,Low,Cat_6,43,1.0,1.0
Male,No,No,Healthcare,Low,Cat_4,20,0.0,6.0
Female,No,No,Homemaker,Low,Cat_6,33,8.0,2.0
Male,No,No,Healthcare,Low,Cat_3,18,1.0,4.0
Male,No,Yes,Healthcare,Low,Cat_6,33,0.0,5.0
Female,No,Yes,Artist,Low,Cat_6,25,8.0,1.0
Female,Yes,Yes,Doctor,Average,Cat_6,41,1.0,2.0
Female,No,No,Healthcare,Low,Cat_2,22,5.0,3.0
Male,Yes,Yes,Artist,Average,Cat_6,38,4.0,3.0
Male,Yes,Yes,Entertainment,Average,Cat_6,37,9.0,2.0
Male,Yes,No,Lawyer,High,Cat_6,84,1.0,2.0
Male,Yes,No,Lawyer,Low,Cat_6,67,0.0,3.0
Female,No,Yes,Artist,Low,Cat_6,42,8.0,1.0
Male,No,No,Healthcare,Low,Cat_6,23,0.0,2.0
Female,Yes,Yes,Homemaker,Low,Cat_6,48,12.0,1.0
Male,No,No,Healthcare,Low,Cat_4,25,7.0,4.0
Female,No,Yes,Healthcare,Low,Cat_6,27,0.0,4.0
Male,Yes,Yes,Artist,Average,Cat_6,35,3.0,3.0
Female,Yes,Yes,Lawyer,High,Cat_6,81,1.0,3.0
Female,No,No,Engineer,Low,Cat_6,25,8.0,3.0
Male,No,Yes,Doctor,Low,Cat_6,43,0.0,2.0
Female,No,Yes,Artist,Low,Cat_6,25,8.0,1.0
Female,No,No,Engineer,Low,Cat_6,36,0.0,1.0
Male,Yes,No,Executive,High,Cat_6,66,1.0,2.0
Female,Yes,Yes,Artist,High,Cat_7,41,1.0,5.0
Female,No,No,Healthcare,Low,Cat_7,21,1.0,3.0
Male,Yes,Yes,Artist,Average,Cat_6,53,0.0,3.0
Male,Yes,Yes,Executive,High,Cat_6,38,0.0,3.0
Female,No,No,Engineer,Low,Cat_6,25,1.0,1.0
Male,No,No,Healthcare,Low,Cat_4,18,1.0,3.0
Female,No,Yes,Artist,Low,Cat_6,41,1.0,1.0
Female,No,Yes,Healthcare,Low,Cat_4,25,1.0,2.0
Female,Yes,No,Doctor,Average,Cat_6,52,3.0,2.0
Male,Yes,Yes,Healthcare,Average,Cat_2,29,2.0,2.0
Female,Yes,Yes,Artist,Low,Cat_6,70,1.0,1.0
Male,Yes,No,Lawyer,High,Cat_1,69,1.0,2.0
Male,Yes,Yes,Doctor,Average,Cat_6,48,3.0,2.0
Female,Yes,No,Engineer,Low,Cat_3,60,0.0,2.0
Female,No,Yes,Artist,Low,Cat_4,33,7.0,7.0
Male,Yes,Yes,Artist,Average,Cat_6,59,1.0,2.0
Female,Yes,No,Lawyer,Low,Cat_6,87,0.0,1.0
Male,Yes,Yes,Executive,High,Cat_6,61,5.0,2.0
Female,Yes,Yes,Engineer,Low,Cat_3,36,0.0,1.0
Female,Yes,Yes,Lawyer,Low,Cat_4,67,1.0,1.0
Female,Yes,Yes,Artist,High,Cat_5,41,5.0,3.0
Female,Yes,Yes,Lawyer,Average,Cat_6,65,1.0,2.0
Male,No,No,Marketing,Low,Cat_4,40,0.0,5.0
Female,Yes,Yes,Engineer,Average,Cat_2,60,1.0,4.0
Female,No,No,Homemaker,Low,Cat_6,26,9.0,2.0
Female,Yes,No,Engineer,Average,Cat_4,63,4.0,8.0
Male,Yes,No,Lawyer,High,Cat_6,74,0.0,2.0
Male,No,No,Healthcare,Low,Cat_6,23,1.0,4.0
Male,Yes,Yes,Entertainment,Low,Cat_6,63,0.0,1.0
Female,No,No,Engineer,Low,Cat_3,30,1.0,5.0
Female,Yes,Yes,Artist,Average,Cat_6,68,1.0,2.0
Male,No,No,Doctor,Low,Cat_3,31,0.0,4.0
Male,Yes,Yes,Entertainment,Low,Cat_6,37,3.0,1.0
Male,Yes,No,Executive,High,Cat_6,57,4.0,4.0
Female,Yes,Yes,Engineer,Average,Cat_6,35,0.0,2.0
Male,Yes,No,Artist,Average,Cat_6,30,1.0,3.0
Female,Yes,Yes,Artist,High,Cat_6,49,0.0,4.0
Male,No,Yes,Artist,Low,Cat_6,35,13.0,1.0
Female,Yes,Yes,Artist,Average,Cat_6,70,1.0,2.0
Female,Yes,No,Lawyer,High,Cat_6,79,1.0,2.0
Male,No,Yes,Artist,Low,Cat_6,40,5.0,2.0
